text,is_correct
the shirt is to the left of the door,0
the door is to the left of the shirt,1
the man is to the left of the door,0
the door is to the left of the man,1
the shirt is wearing the man,0
the man is wearing the shirt,1
the train car is on the man,0
the man is on the train car,1
the door is to the right of the man,0
the man is to the right of the door,1
the door is to the right of the shirt,0
the shirt is to the right of the door,1
the plate is on the banana,0
the banana is on the plate,1
the plate is under the table,0
the table is under the plate,1
the plate is below the table,0
the table is below the plate,1
the plate is on the banana,0
the banana is on the plate,1
the table is on the banana,0
the banana is on the table,1
the banana is with the plate,0
the plate is with the banana,1
the table is on top of the plate,0
the plate is on top of the table,1
the table is on the plate,0
the plate is on the table,1
the table is above the plate,0
the plate is above the table,1
the banana is with the plate,0
the plate is with the banana,1
the woman is to the left of the skier,0
the skier is to the left of the woman,1
the boot is wearing the skier,0
the skier is wearing the boot,1
the skier is to the right of the woman,0
the woman is to the right of the skier,1
the jacket is to the right of the woman,0
the woman is to the right of the jacket,1
the boot is to the right of the woman,0
the woman is to the right of the boot,1
the woman is to the left of the boot,0
the boot is to the left of the woman,1
the woman is to the left of the jacket,0
the jacket is to the left of the woman,1
the table is to the right of the frosting,0
the frosting is to the right of the table,1
the frosting is to the left of the table,0
the table is to the left of the frosting,1
the plate is on the sandwiches,0
the sandwiches is on the plate,1
the plate is on the sandwiches,0
the sandwiches is on the plate,1
the table is on the plate,0
the plate is on the table,1
the plate is on the sandwiches,0
the sandwiches is on the plate,1
the building is on the clock,0
the clock is on the building,1
the couch is to the left of the chair,0
the chair is to the left of the couch,1
the chair is to the right of the couch,0
the couch is to the right of the chair,1
the horse is to the left of the wall,0
the wall is to the left of the horse,1
the horse is to the left of the tool,0
the tool is to the left of the horse,1
the tool is to the right of the horse,0
the horse is to the right of the tool,1
the wall is to the right of the horse,0
the horse is to the right of the wall,1
the dress is wearing the girl,0
the girl is wearing the dress,1
the player is to the left of the racket,0
the racket is to the left of the player,1
the racket is to the right of the player,0
the player is to the right of the racket,1
the racket is playing with the player,0
the player is playing with the racket,1
the racket is holding the player,0
the player is holding the racket,1
the building is behind the man,0
the man is behind the building,1
the man is in front of the building,0
the building is in front of the man,1
the building is parked next to the truck,0
the truck is parked next to the building,1
the tree is in front of the truck,0
the truck is in front of the tree,1
the building is parked in front of the truck,0
the truck is parked in front of the building,1
the tree is near the truck,0
the truck is near the tree,1
the truck is behind the tree,0
the tree is behind the truck,1
the shirt is to the left of the girl,0
the girl is to the left of the shirt,1
the girl is to the right of the shirt,0
the shirt is to the right of the girl,1
the cat is of the legs,0
the legs is of the cat,1
the cat is of the tail,0
the tail is of the cat,1
the cat is behind the table,0
the table is behind the cat,1
the table is in front of the cat,0
the cat is in front of the table,1
the jeans is to the right of the fire hydrant,0
the fire hydrant is to the right of the jeans,1
the wall is to the right of the fire hydrant,0
the fire hydrant is to the right of the wall,1
the wall is to the right of the sky,0
the sky is to the right of the wall,1
the building is to the right of the sky,0
the sky is to the right of the building,1
the fire hydrant is to the left of the wall,0
the wall is to the left of the fire hydrant,1
the sky is to the left of the wall,0
the wall is to the left of the sky,1
the fire hydrant is to the left of the jeans,0
the jeans is to the left of the fire hydrant,1
the sky is to the left of the building,0
the building is to the left of the sky,1
the dog is to the right of the pasture,0
the pasture is to the right of the dog,1
the cow is to the right of the pasture,0
the pasture is to the right of the cow,1
the cows is to the right of the pasture,0
the pasture is to the right of the cows,1
the dog is to the right of the pasture,0
the pasture is to the right of the dog,1
the pasture is to the left of the cows,0
the cows is to the left of the pasture,1
the grass is to the left of the cows,0
the cows is to the left of the grass,1
the grass is to the left of the cow,0
the cow is to the left of the grass,1
the pasture is to the left of the dog,0
the dog is to the left of the pasture,1
the cows is to the right of the grass,0
the grass is to the right of the cows,1
the cow is to the right of the grass,0
the grass is to the right of the cow,1
the pasture is to the left of the dog,0
the dog is to the left of the pasture,1
the sidewalk is to the left of the table,0
the table is to the left of the sidewalk,1
the table is to the right of the sidewalk,0
the sidewalk is to the right of the table,1
the banana is of the banana peel,0
the banana peel is of the banana,1
the head is to the left of the person,0
the person is to the left of the head,1
the man is to the left of the person,0
the person is to the left of the man,1
the person is to the right of the head,0
the head is to the right of the person,1
the person is to the right of the man,0
the man is to the right of the person,1
the dog is to the right of the girl,0
the girl is to the right of the dog,1
the dog is to the right of the pants,0
the pants is to the right of the dog,1
the pants is to the left of the dog,0
the dog is to the left of the pants,1
the girl is to the left of the dog,0
the dog is to the left of the girl,1
the bus is behind the tree,0
the tree is behind the bus,1
the tree is in front of the bus,0
the bus is in front of the tree,1
the shirt is to the right of the laptop,0
the laptop is to the right of the shirt,1
the blinds is to the right of the books,0
the books is to the right of the blinds,1
the man is to the right of the books,0
the books is to the right of the man,1
the books is to the left of the blinds,0
the blinds is to the left of the books,1
the arm is to the right of the printer,0
the printer is to the right of the arm,1
the desk is sitting at the man,0
the man is sitting at the desk,1
the laptop is using the man,0
the man is using the laptop,1
the shirt is wearing the man,0
the man is wearing the shirt,1
the printer is to the left of the man,0
the man is to the left of the printer,1
the books is to the left of the man,0
the man is to the left of the books,1
the printer is to the left of the shirt,0
the shirt is to the left of the printer,1
the laptop is to the left of the shirt,0
the shirt is to the left of the laptop,1
the printer is to the left of the arm,0
the arm is to the left of the printer,1
the bowl is to the right of the hand,0
the hand is to the right of the bowl,1
the fork is to the right of the hand,0
the hand is to the right of the fork,1
the hand is to the left of the bowl,0
the bowl is to the left of the hand,1
the hand is to the left of the fork,0
the fork is to the left of the hand,1
the person is near the skillet,0
the skillet is near the person,1
the shirt is wearing the person,0
the person is wearing the shirt,1
the kitchen is in the person,0
the person is in the kitchen,1
the skillet is near the person,0
the person is near the skillet,1
the field is on the boy,0
the boy is on the field,1
the roadway is next to the bus,0
the bus is next to the roadway,1
the roadway is near the bus,0
the bus is near the roadway,1
the roadway is to the right of the bus,0
the bus is to the right of the roadway,1
the bus is near the roadway,0
the roadway is near the bus,1
the couple is behind the fence,0
the fence is behind the couple,1
the coat is to the right of the fence,0
the fence is to the right of the coat,1
the cupboard is below the toilet,0
the toilet is below the cupboard,1
the dessert is on top of the icing,0
the icing is on top of the dessert,1
the plate is on the fork,0
the fork is on the plate,1
the plate is on top of the fork,0
the fork is on top of the plate,1
the plate is on the dessert,0
the dessert is on the plate,1
the plate is on the dinner,0
the dinner is on the plate,1
the motorcycle is on the man,0
the man is on the motorcycle,1
the outfit is to the right of the man,0
the man is to the right of the outfit,1
the man is to the left of the outfit,0
the outfit is to the left of the man,1
the motorcycle is to the left of the outfit,0
the outfit is to the left of the motorcycle,1
the outfit is to the right of the motorcycle,0
the motorcycle is to the right of the outfit,1
the trees is in front of the animal,0
the animal is in front of the trees,1
the neck is to the left of the trees,0
the trees is to the left of the neck,1
the animal is behind the trees,0
the trees is behind the animal,1
the trees is to the right of the neck,0
the neck is to the right of the trees,1
the sidewalk is to the right of the road,0
the road is to the right of the sidewalk,1
the water is to the right of the road,0
the road is to the right of the water,1
the sidewalk is to the right of the water,0
the water is to the right of the sidewalk,1
the road is to the left of the water,0
the water is to the left of the road,1
the water is to the left of the sidewalk,0
the sidewalk is to the left of the water,1
the road is to the left of the sidewalk,0
the sidewalk is to the left of the road,1
the wall is to the right of the elephant,0
the elephant is to the right of the wall,1
the cat is to the right of the elephant,0
the elephant is to the right of the cat,1
the elephant is touching the cat,0
the cat is touching the elephant,1
the elephant is to the left of the cat,0
the cat is to the left of the elephant,1
the elephant is to the left of the wall,0
the wall is to the left of the elephant,1
the trees is in front of the bus,0
the bus is in front of the trees,1
the building is near the snow,0
the snow is near the building,1
the snow is near the building,0
the building is near the snow,1
the fence is to the right of the man,0
the man is to the right of the fence,1
the man is to the left of the fence,0
the fence is to the left of the man,1
the field is on the dirt,0
the dirt is on the field,1
the backpack is to the right of the bus,0
the bus is to the right of the backpack,1
the street is to the left of the backpack,0
the backpack is to the left of the street,1
the bus is to the left of the backpack,0
